key,beef_id,beef_name,beef_type,drake_involved,track_category,artist_side,artist_name,release_date,video_id,song_name,notes
b2_post_pusha_03,b2,Pusha T vs Drake,rap_battle,True,post,pusha,Pusha T,2019-08-28,9bx_r7H7eF8,Coming Home ft. Ms. Lauryn Hill,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b2_post_pusha_04,b2,Pusha T vs Drake,rap_battle,True,post,pusha,Pusha T,2019-08-28,xq3eNq43C-0,Sociopath ft. Kash Doll,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b2_post_drake_02,b2,Pusha T vs Drake,rap_battle,True,post,drake,Drake,2020-08-14,JFm7YDVlqnI,Laugh Now Cry Later ft. Lil Durk,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b2_post_drake_03,b2,Pusha T vs Drake,rap_battle,True,post,drake,Drake,2018-08-04,lJTRVX9R5EA,Nonstop,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b2_post_drake_04,b2,Pusha T vs Drake,rap_battle,True,post,drake,Drake,2022-06-17,V7UgPHjN9qE,Jimmy Cooks ft. 21 Savage,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b2_post_drake_05,b2,Pusha T vs Drake,rap_battle,True,post,drake,Drake,2021-09-03,vX9msKu75qs,"Way 2 Sexy ft. Future, Young Thug",viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_eminem_02,b4,Eminem vs MGK,rap_battle,False,post,eminem,Eminem,2020-03-04,3qFvCPmee8U,Godzilla ft. Juice WRLD,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_eminem_03,b4,Eminem vs MGK,rap_battle,False,post,eminem,Eminem,2021-05-28,FVeZcM6tBQU,"Killer (Remix) ft. Jack Harlow, Cordae",viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_eminem_04,b4,Eminem vs MGK,rap_battle,False,post,eminem,Eminem,2022-06-24,RjrA-slMoZ4,From The D 2 The LBC,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_eminem_05,b4,Eminem vs MGK,rap_battle,False,post,eminem,Eminem,2018-12-07,X-TkrWpO75k,Good Guy ft. Jessie Reyez,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_mgk_02,b4,Eminem vs MGK,rap_battle,False,post,mgk,MGK,2020-08-26,J_n01uvyhI8,my ex's best friend ft. blackbear,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_mgk_03,b4,Eminem vs MGK,rap_battle,False,post,mgk,MGK,2019-06-13,wK-8TCDrbV8,I Think I'm OKAY,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_mgk_04,b4,Eminem vs MGK,rap_battle,False,post,mgk,MGK,2019-07-09,z7kYa5GQYKg,Candy ft. Trippie Redd,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b4_post_mgk_05,b4,Eminem vs MGK,rap_battle,False,post,mgk,MGK,2020-10-22,0tn6nWYNK3Q,forget me too ft. Halsey,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_wayne_02,b5,Wayne vs Birdman,contract_breakdown,False,post,wayne,Lil Wayne,2024-10-02,t61T0Wu7slg,Don't Cry ft. XXXTENTACION,"viewcount_analysis用に追加。動画公開日と実際のリリース日(Funeral, 2020)がずれている可能性あり"
b5_post_wayne_03,b5,Wayne vs Birdman,contract_breakdown,False,post,wayne,Lil Wayne,2025-06-06,MGb5VUeartE,Peanuts 2 N Elephants,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_wayne_04,b5,Wayne vs Birdman,contract_breakdown,False,post,wayne,Lil Wayne,2024-09-30,Qlr1llwBQt8,Big Worm,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_wayne_05,b5,Wayne vs Birdman,contract_breakdown,False,post,wayne,Lil Wayne,2025-06-06,7DoEYRPiEjo,Bells (Visualizer),viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_birdman_02,b5,Wayne vs Birdman,contract_breakdown,False,post,birdman,Birdman,2019-04-26,8LJqoRMyFSo,Cap Talk ft. YoungBoy Never Broke Again,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_birdman_03,b5,Wayne vs Birdman,contract_breakdown,False,post,birdman,Birdman,2019-02-22,b3S0N20zxCU,Just Another Gangsta ft. Juvenile,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_birdman_04,b5,Wayne vs Birdman,contract_breakdown,False,post,birdman,Birdman,2019-09-13,49Ggx4ZafL8,"Ride Dat ft. Juvenile, Lil Wayne",viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b5_post_birdman_05,b5,Wayne vs Birdman,contract_breakdown,False,post,birdman,Birdman,2021-05-21,a78G2OPKuD8,"STUNNAMAN ft. Roddy Ricch, Lil Wayne",viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b6_post_megan_02,b6,Megan vs Nicki,rap_battle,False,post,megan,Megan Thee Stallion,2024-08-09,OdxSbc0ap-s,Mamushi ft. Yuki Chiba,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b6_post_megan_03,b6,Megan vs Nicki,rap_battle,False,post,megan,Megan Thee Stallion,2024-09-06,TpYTyAaTRts,Neva Play ft. RM,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b6_post_megan_04,b6,Megan vs Nicki,rap_battle,False,post,megan,Megan Thee Stallion,2024-10-25,QxTkZTLWdo4,Bigger In Texas,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b6_post_nicki_02,b6,Megan vs Nicki,rap_battle,False,post,nicki,Nicki Minaj,2024-11-22,OBfCeimLNvQ,Arctic Tundra ft. Juice WRLD,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b6_post_nicki_03,b6,Megan vs Nicki,rap_battle,False,post,nicki,Nicki Minaj,2024-11-22,p7wJgqeD7wI,"If It's Okay ft. David Guetta, Davido",viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_catalog_kendrick_02,b1,Kendrick vs Drake,rap_battle,True,catalog,kendrick,Kendrick Lamar,2022-05-14,zI383uEwA6Q,N95,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_kendrick_03,b1,Kendrick vs Drake,rap_battle,True,catalog,kendrick,Kendrick Lamar,2022-05-13,6nTcdw7bVdc,Count Me Out (Official Audio),viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_kendrick_04,b1,Kendrick vs Drake,rap_battle,True,catalog,kendrick,Kendrick Lamar,2022-11-16,toBTPGfurLc,Rich Spirit,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_kendrick_05,b1,Kendrick vs Drake,rap_battle,True,catalog,kendrick,Kendrick Lamar,2022-05-13,Lx3MGrafykU,Die Hard ft. Blxst & Amanda Reifer,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_drake_02,b1,Kendrick vs Drake,rap_battle,True,catalog,drake,Drake,2021-09-03,THVbtGqEO1o,Fair Trade ft. Travis Scott,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_drake_03,b1,Kendrick vs Drake,rap_battle,True,catalog,drake,Drake,2021-11-05,XqpQpt_cmhE,"Knife Talk ft. 21 Savage, Project Pat",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_drake_04,b1,Kendrick vs Drake,rap_battle,True,catalog,drake,Drake,2022-06-17,V7UgPHjN9qE,Jimmy Cooks ft. 21 Savage,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b1_catalog_drake_05,b1,Kendrick vs Drake,rap_battle,True,catalog,drake,Drake,2021-09-03,vX9msKu75qs,"Way 2 Sexy ft. Future, Young Thug",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_pusha_02,b2,Pusha T vs Drake,rap_battle,True,catalog,pusha,Pusha T,2016-01-01,R0NpahenvAg,"M.P.A. ft. Kanye West, A$AP Rocky, The-Dream",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_pusha_03,b2,Pusha T vs Drake,rap_battle,True,catalog,pusha,Pusha T,2015-11-20,NPI_6MX74j4,Untouchable,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_pusha_04,b2,Pusha T vs Drake,rap_battle,True,catalog,pusha,Pusha T,2015-12-14,crCFDQyfORM,"Crutches, Crosses, Caskets",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_pusha_05,b2,Pusha T vs Drake,rap_battle,True,catalog,pusha,Pusha T,2016-06-28,tPp7dNDe00U,Drug Dealers Anonymous,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_drake_02,b2,Pusha T vs Drake,rap_battle,True,catalog,drake,Drake,2015-10-26,uxpDa-c-4Mc,Hotline Bling,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_drake_03,b2,Pusha T vs Drake,rap_battle,True,catalog,drake,Drake,2015-08-18,7LnBvuzjpr4,Energy,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b2_catalog_drake_04,b2,Pusha T vs Drake,rap_battle,True,catalog,drake,Drake,2016-05-15,vcer12OFU2g,One Dance (Live On SNL),viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)。window内候補が3件のみのため4件目なし
b4_catalog_eminem_02,b4,Eminem vs MGK,rap_battle,False,catalog,eminem,Eminem,2015-10-01,oeCihv9A3ac,Phenomenal,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)。この期間はアルバム間の端境期でEminemの新曲リリースが少なく候補2件のみ
b4_catalog_eminem_03,b4,Eminem vs MGK,rap_battle,False,catalog,eminem,Eminem,2016-11-18,_Ci6LhAmYJk,Infinite (F.B.T. Remix),viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b4_catalog_mgk_02,b4,Eminem vs MGK,rap_battle,False,catalog,mgk,MGK,2017-04-21,tgvbhxb9yk8,At My Best ft. Hailee Steinfeld,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b4_catalog_mgk_03,b4,Eminem vs MGK,rap_battle,False,catalog,mgk,MGK,2016-09-22,BuSBo8AVpV0,Young Man ft. Chief Keef,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b4_catalog_mgk_04,b4,Eminem vs MGK,rap_battle,False,catalog,mgk,MGK,2016-02-26,X5-sg1SnDAM,Alpha Omega,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b4_catalog_mgk_05,b4,Eminem vs MGK,rap_battle,False,catalog,mgk,MGK,2017-06-07,BKywT1BQW_M,"Trap Paris ft. Quavo, Ty Dolla $ign",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_wayne_02,b5,Wayne vs Birdman,contract_breakdown,False,catalog,wayne,Lil Wayne,2012-01-31,OZLUa8JUR18,Mirror ft. Bruno Mars,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_wayne_03,b5,Wayne vs Birdman,contract_breakdown,False,catalog,wayne,Lil Wayne,2013-02-15,KY44zvhWhp4,"Love Me ft. Drake, Future",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_wayne_04,b5,Wayne vs Birdman,contract_breakdown,False,catalog,wayne,Lil Wayne,2012-11-28,5z25pGEGBM4,No Worries ft. Detail,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_wayne_05,b5,Wayne vs Birdman,contract_breakdown,False,catalog,wayne,Lil Wayne,2013-07-17,_Nb4EHY_2bI,God Bless Amerika,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_birdman_02,b5,Wayne vs Birdman,contract_breakdown,False,catalog,birdman,Birdman,2012-05-25,6ImFf__U6io,"Dark Shades ft. Lil Wayne, Mack Maine",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_birdman_03,b5,Wayne vs Birdman,contract_breakdown,False,catalog,birdman,Birdman,2012-06-11,DTmwGXP2c6Q,Born Stunna (Explicit Version),viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_birdman_04,b5,Wayne vs Birdman,contract_breakdown,False,catalog,birdman,Birdman,2013-01-18,6cOjnTHQLGM,"Shout Out ft. Gudda Gudda, French Montana",viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b5_catalog_birdman_05,b5,Wayne vs Birdman,contract_breakdown,False,catalog,birdman,Birdman,2012-06-11,kFHQzwNMo_Q,Born Stunna ft. Rick Ross,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b6_catalog_megan_02,b6,Megan vs Nicki,rap_battle,False,catalog,megan,Megan Thee Stallion,2021-02-04,AqaQsL-8I_M,Cry Baby ft. DaBaby,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b6_catalog_megan_03,b6,Megan vs Nicki,rap_battle,False,catalog,megan,Megan Thee Stallion,2022-03-11,K7JrX7PHGBE,Sweetest Pie (with Dua Lipa),viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b6_catalog_megan_04,b6,Megan vs Nicki,rap_battle,False,catalog,megan,Megan Thee Stallion,2021-06-11,KynkMn5Hv3Q,Thot Shit,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b6_catalog_megan_05,b6,Megan vs Nicki,rap_battle,False,catalog,megan,Megan Thee Stallion,2022-06-02,qQuQ8zDxGh0,Plan B,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
b6_catalog_nicki_02,b6,Megan vs Nicki,rap_battle,False,catalog,nicki,Nicki Minaj,2022-02-04,yrGR11TDRYM,Do We Have A Problem? ft. Lil Baby,viewcount_analysis用(recency-matched)。カタログ曲は全キャリア最大ヒットではなく、ビーフ1〜3年前のリリースの中での再生数上位を選定(POST曲との経過時間バイアスを避けるため)
