sample_id,stance
196,neutral
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,neutral
207,a
208,b
209,neutral
210,neutral
211,neutral
212,neutral
213,a
214,neutral
215,a
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,a
224,neutral
225,a
226,neutral
227,neutral
228,neutral
229,neutral
230,b
231,neutral
232,a
233,a
234,neutral
235,neutral
236,neutral
237,b
238,b
239,neutral
240,a
241,neutral
242,neutral
243,a
244,neutral
245,a
246,neutral
247,neutral
248,a
249,neutral
250,neutral
251,b
252,b
253,neutral
254,b
255,neutral
256,neutral
257,neutral
258,b
259,b
260,neutral
261,b
262,b
263,neutral
264,neutral
265,a
266,neutral
267,neutral
268,neutral
269,b
270,neutral
271,neutral
272,b
273,neutral
274,neutral
275,neutral
276,a
277,b
278,a
279,a
280,neutral
281,neutral
282,a
283,neutral
284,neutral
285,a
286,neutral
287,b
288,b
289,neutral
290,neutral
291,neutral
292,b
293,neutral
294,neutral
295,a
296,neutral
297,b
298,neutral
299,a
300,neutral
301,neutral
302,neutral
303,neutral
304,a
305,a
306,neutral
307,a
308,a
309,a
310,neutral
311,neutral
312,neutral
313,b
314,b
315,b
316,b
317,neutral
318,neutral
319,neutral
320,a
321,neutral
322,neutral
323,b
324,neutral
325,neutral
326,a
327,b
328,neutral
329,b
330,b
331,a
332,neutral
333,neutral
334,neutral
335,neutral
336,a
337,neutral
338,b
339,neutral
340,b
341,neutral
342,neutral
343,neutral
344,neutral
345,neutral
346,neutral
347,neutral
348,a
349,a
350,neutral
351,b
352,neutral
353,neutral
354,a
355,a
356,b
357,b
358,b
359,b
360,b
361,b
362,neutral
363,neutral
364,a
365,neutral
366,neutral
367,neutral
368,a
369,b
370,neutral
371,a
372,neutral
373,b
374,b
375,neutral
376,neutral
377,neutral
378,a
379,neutral
380,a
381,b
382,neutral
383,neutral
384,neutral
385,neutral
386,neutral
387,a
388,a
389,a
390,neutral
391,a
392,b
393,neutral
394,a
395,neutral
396,neutral
397,a
398,b
399,neutral
400,b
401,b
402,neutral
403,b
404,neutral
405,neutral
406,neutral
407,a
408,neutral
409,neutral
410,b
411,b
412,a
413,b
414,neutral
415,neutral
416,neutral
417,neutral
418,neutral
419,neutral
420,a
421,neutral
422,neutral
423,neutral
424,a
425,a
426,b
427,neutral
428,b
429,neutral
430,b
431,neutral
432,neutral
433,b
434,a
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,b
441,neutral
442,neutral
443,b
444,neutral
445,b
446,neutral
447,a
448,neutral
449,a
450,a
451,neutral
452,neutral
453,a
454,neutral
455,neutral
456,b
457,neutral
458,a
459,b
460,a
461,neutral
462,neutral
463,a
464,neutral
465,b
466,a
467,neutral
468,neutral
469,b
470,a
471,neutral
472,neutral
473,b
474,neutral
475,b
476,b
477,b
478,b
479,neutral
480,b
481,neutral
482,b
483,b
484,b
485,b
486,a
487,neutral
488,neutral
489,a
490,neutral
491,neutral
492,b
493,b
494,b
495,b
496,neutral
497,b
498,b
499,b
500,b
501,neutral
502,neutral
503,a
504,neutral
505,a
506,neutral
507,neutral
508,a
509,a
510,a
511,neutral
512,a
513,a
514,neutral
515,a
516,neutral
517,neutral
518,b
519,a
520,neutral
521,neutral
522,b
523,a
524,a
525,neutral
526,a
527,b
528,neutral
529,neutral
530,a
531,neutral
532,neutral
533,neutral
534,neutral
535,a
536,neutral
537,neutral
538,a
539,neutral
540,neutral
541,neutral
542,b
543,neutral
544,neutral
545,b
546,a
547,b
548,b
549,a
550,neutral
551,neutral
552,a
553,a
554,a
555,b
556,neutral
557,b
558,b
559,neutral
560,a
561,neutral
562,neutral
563,neutral
564,b
565,neutral
566,a
567,neutral
568,neutral
569,a
570,b
571,neutral
572,neutral
573,b
574,neutral
575,a
576,a
577,b
578,neutral
579,a
580,a
581,neutral
582,neutral
583,a
584,a
585,a
586,a
587,neutral
588,neutral
589,neutral
590,b
591,neutral
592,neutral
593,b
594,neutral
595,a
596,a
597,neutral
598,neutral
599,neutral
600,b
601,neutral
602,b
603,a
604,neutral
605,neutral
606,a
607,a
608,neutral
609,b
610,neutral
611,a
612,a
613,neutral
614,neutral
615,neutral
616,b
617,neutral
618,neutral
619,neutral
620,a
621,neutral
622,neutral
623,a
624,neutral
625,a
626,neutral
627,neutral
628,neutral
629,a
630,neutral
631,neutral
632,a
633,b
634,neutral
635,b
636,neutral
637,b
638,neutral
639,b
640,neutral
641,a
642,neutral
643,neutral
644,neutral
645,neutral
646,neutral
647,a
648,a
649,neutral
650,a
651,a
652,neutral
653,a
654,neutral
655,a
656,neutral
657,b
658,a
659,b
660,neutral
661,a
662,a
663,b
664,neutral
665,a
666,a
667,neutral
668,neutral
669,b
670,a
671,b
672,neutral
673,a
674,a
675,b
676,neutral
677,neutral
678,neutral
679,neutral
680,a
681,neutral
682,a
683,neutral
684,neutral
685,neutral
686,neutral
687,a
688,a
689,a
690,neutral
691,a
692,neutral
693,neutral
694,neutral
695,neutral
696,neutral
697,a
698,b
699,a
700,neutral
701,a
702,a
703,neutral
704,neutral
705,neutral
706,neutral
707,neutral
708,neutral
709,a
710,neutral
711,neutral
712,a
713,b
714,neutral
715,neutral
716,neutral
717,a
718,neutral
719,a
720,neutral
721,b
722,a
723,neutral
724,neutral
725,a
726,neutral
727,neutral
728,neutral
729,neutral
730,a
731,neutral
732,neutral
733,neutral
734,a
735,a
736,neutral
737,neutral
738,b
739,a
740,a
741,neutral
742,neutral
743,a
744,neutral
745,a
746,a
747,a
748,neutral
749,a
750,b
751,neutral
752,neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,a
758,neutral
759,neutral
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,neutral
777,neutral
778,neutral
779,neutral
780,a
781,neutral
782,neutral
783,neutral
784,neutral
785,neutral
786,neutral
787,neutral
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,neutral
794,neutral
795,neutral
796,neutral
797,neutral
798,neutral
799,a
800,neutral
801,neutral
802,b
803,neutral
804,neutral
805,neutral
806,neutral
807,neutral
808,neutral
809,a
810,neutral
811,neutral
812,a
813,a
814,neutral
815,neutral
816,neutral
817,a
818,neutral
819,neutral
820,neutral
821,a
822,a
823,neutral
824,neutral
825,neutral
826,neutral
827,neutral
828,neutral
829,neutral
830,neutral
831,a
832,neutral
833,neutral
834,neutral
835,a
836,b
837,neutral
838,neutral
839,neutral
840,neutral
841,a
842,neutral
843,neutral
844,neutral
845,neutral
846,a
847,a
848,neutral
849,a
850,neutral
851,neutral
852,neutral
853,neutral
854,neutral
855,neutral
856,neutral
857,neutral
858,a
859,neutral
860,neutral
861,neutral
862,neutral
863,neutral
864,a
865,neutral
866,neutral
867,neutral
868,neutral
869,neutral
870,neutral
871,neutral
872,a
873,neutral
874,neutral
875,neutral
876,neutral
877,a
878,a
879,neutral
880,neutral
881,neutral
882,neutral
883,neutral
884,a
885,neutral
886,a
887,neutral
888,a
889,neutral
890,a
891,a
892,neutral
893,neutral
894,a
895,neutral
896,neutral
897,neutral
898,a
899,neutral
900,neutral
901,neutral
902,neutral
903,neutral
904,neutral
905,neutral
906,a
907,neutral
908,a
909,neutral
910,neutral
911,neutral
912,a
913,neutral
914,neutral
915,neutral
916,neutral
917,a
918,neutral
919,neutral
920,neutral
921,neutral
922,neutral
923,neutral
924,neutral
925,a
926,neutral
927,neutral
928,neutral
929,a
930,neutral
931,neutral
932,neutral
933,neutral
934,a
935,neutral
936,neutral
937,neutral
938,neutral
939,neutral
940,neutral
941,neutral
942,neutral
943,neutral
944,neutral
945,neutral
946,a
947,neutral
948,neutral
949,neutral
950,neutral
951,neutral
952,neutral
953,neutral
954,a
955,neutral
956,neutral
957,a
958,a
959,neutral
960,neutral
961,neutral
962,neutral
963,neutral
964,a
965,a
966,neutral
967,a
968,neutral
969,neutral
970,neutral
971,neutral
972,neutral
973,neutral
974,neutral
975,a
976,neutral
977,neutral
978,neutral
979,neutral
980,neutral
981,a
982,a
983,neutral
984,neutral
985,neutral
986,neutral
987,neutral
988,neutral
989,neutral
990,neutral
991,neutral
992,a
993,neutral
994,neutral
995,neutral
996,neutral
997,neutral
998,neutral
999,neutral
1000,a
1001,neutral
1002,a
1003,neutral
1004,neutral
1005,neutral
1006,neutral
1007,a
1008,b
1009,neutral
1010,a
1011,neutral
1012,b
1013,neutral
1014,b
1015,a
1016,neutral
1017,neutral
1018,neutral
1019,neutral
1020,a
1021,a
1022,a
1023,a
1024,neutral
1025,a
1026,neutral
1027,a
1028,neutral
1029,a
1030,a
1031,a
1032,neutral
1033,neutral
1034,neutral
1035,neutral
1036,neutral
1037,neutral
1038,neutral
1039,a
1040,a
1041,neutral
1042,a
1043,neutral
1044,a
1045,neutral
1046,a
1047,neutral
1048,neutral
1049,neutral
1050,neutral
1051,a
1052,a
1053,neutral
1054,neutral
1055,neutral
1056,b
1057,neutral
1058,b
1059,a
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,b
1065,neutral
1066,a
1067,a
1068,neutral
1069,a
1070,b
1071,a
1072,a
1073,a
1074,neutral
1075,a
1076,neutral
1077,neutral
1078,neutral
1079,a
1080,neutral
1081,neutral
1082,neutral
1083,a
1084,a
1085,neutral
1086,neutral
1087,neutral
1088,a
1089,neutral
1090,neutral
1091,neutral
1092,a
1093,neutral
1094,a
1095,neutral
1096,b
1097,neutral
1098,b
1099,b
1100,neutral
1101,a
1102,neutral
1103,a
1104,a
1105,a
1106,neutral
1107,b
1108,neutral
1109,neutral
1110,a
1111,a
1112,neutral
1113,neutral
1114,b
1115,b
1116,a
1117,a
1118,neutral
1119,a
1120,a
1121,a
1122,a
1123,neutral
1124,a
1125,a
1126,a
1127,neutral
1128,a
1129,a
1130,a
1131,b
1132,neutral
1133,a
1134,neutral
1135,a
1136,a
1137,neutral
1138,neutral
1139,neutral
1140,neutral
1141,neutral
1142,a
1143,a
1144,a
1145,a
1146,neutral
1147,neutral
1148,b
1149,a
1150,neutral
1151,b
1152,a
1153,a
1154,neutral
1155,neutral
1156,neutral
1157,a
1158,a
1159,neutral
1160,a
1161,a
1162,b
1163,neutral
1164,neutral
1165,neutral
1166,neutral
1167,b
1168,neutral
1169,a
1170,neutral
1171,neutral
1172,a
1173,b
1174,a
1175,a
1176,a
1177,neutral
1178,neutral
1179,neutral
1180,a
1181,a
1182,neutral
1183,neutral
1184,neutral
1185,a
1186,a
1187,neutral
1188,b
1189,a
1190,neutral
1191,neutral
1192,neutral
1193,neutral
1194,neutral
1195,neutral
1196,neutral
1197,a
1198,neutral
1199,neutral
1200,a
1201,neutral
1202,a
1203,neutral
1204,b
1205,a
1206,a
1207,neutral
1208,neutral
1209,neutral
1210,a
1211,b
1212,b
1213,neutral
1214,neutral
1215,neutral
1216,neutral
1217,neutral
1218,neutral
1219,neutral
1220,neutral
1221,neutral
1222,a
1223,neutral
1224,neutral
1225,b
1226,b
1227,neutral
1228,a
1229,neutral
1230,neutral
1231,neutral
1232,a
1233,a
1234,neutral
1235,neutral
1236,b
1237,b
1238,b
1239,neutral
1240,neutral
1241,neutral
1242,neutral
1243,neutral
1244,a
1245,a
1246,neutral
1247,neutral
1248,b
1249,neutral
1250,neutral
